sink_id,timestamp,cur_time,latency
AN,1565729581.605362,1565729581.737133,0.131770
AN,1565729581.602065,1565729581.750418,0.148351
AN,1565729581.595876,1565729581.758252,0.162375
AN,1565729581.602045,1565729581.765072,0.163026
AN,1565729581.705154,1565729581.840338,0.135182
AN,1565729581.701857,1565729581.853278,0.151420
AN,1565729581.695668,1565729581.861013,0.165345
AN,1565729581.701837,1565729581.868314,0.166476
AN,1565729581.859023,1565729581.949151,0.090127
AN,1565729581.855726,1565729581.962718,0.106991
AN,1565729581.855706,1565729581.971503,0.115796
AN,1565729581.849537,1565729581.979819,0.130281
AN,1565729581.956900,1565729582.055745,0.098845
AN,1565729581.953603,1565729582.069930,0.116326
AN,1565729581.953583,1565729582.078754,0.125170
AN,1565729581.947413,1565729582.087457,0.140044
AN,1565729582.032915,1565729582.161071,0.128155
AN,1565729582.029618,1565729582.174515,0.144895
AN,1565729582.029598,1565729582.182728,0.153127
AN,1565729582.023428,1565729582.190991,0.167561
AN,1565729582.191553,1565729582.268971,0.077417
AN,1565729582.188256,1565729582.282684,0.094427
AN,1565729582.182066,1565729582.292080,0.110012
AN,1565729582.188236,1565729582.300765,0.112528
AN,1565729582.238253,1565729582.374444,0.136190
AN,1565729582.234957,1565729582.387159,0.152201
AN,1565729582.234936,1565729582.395335,0.160398
AN,1565729582.228767,1565729582.403335,0.174567
AN,1565729582.408344,1565729582.482114,0.073768
AN,1565729582.405047,1565729582.495924,0.090876
AN,1565729582.398858,1565729582.504524,0.105665
AN,1565729582.405027,1565729582.512664,0.107635
AN,1565729582.533301,1565729582.587993,0.054691
AN,1565729582.530004,1565729582.601498,0.071493
AN,1565729582.529984,1565729582.609473,0.079488
AN,1565729582.523814,1565729582.617810,0.093995
AN,1565729582.621406,1565729582.695865,0.074457
AN,1565729582.618109,1565729582.709794,0.091683
AN,1565729582.618089,1565729582.718119,0.100029
AN,1565729582.611920,1565729582.726251,0.114330
AN,1565729582.695853,1565729582.801716,0.105861
AN,1565729582.692557,1565729582.815545,0.122987
AN,1565729582.692537,1565729582.824249,0.131712
AN,1565729582.686367,1565729582.832713,0.146346
AN,1565729582.821709,1565729582.911602,0.089893
AN,1565729582.818392,1565729582.926127,0.107734
AN,1565729582.818412,1565729582.935079,0.116665
AN,1565729582.812222,1565729582.943680,0.131457
AN,1565729582.926918,1565729583.016666,0.089746
AN,1565729582.923601,1565729583.030027,0.106424
AN,1565729582.923621,1565729583.038130,0.114507
AN,1565729582.917432,1565729583.046199,0.128766
AN,1565729582.987749,1565729583.125717,0.137967
AN,1565729582.984452,1565729583.140935,0.156481
AN,1565729582.978262,1565729583.150808,0.172544
AN,1565729582.984432,1565729583.161022,0.176589
AN,1565729583.138294,1565729583.231311,0.093016
AN,1565729583.134997,1565729583.247273,0.112274
AN,1565729583.134977,1565729583.256585,0.121606
AN,1565729583.128808,1565729583.266133,0.137324
AN,1565729583.196619,1565729583.335744,0.139124
AN,1565729583.193322,1565729583.351362,0.158039
AN,1565729583.187132,1565729583.361813,0.174680
AN,1565729583.193302,1565729583.372509,0.179206
AN,1565729583.353136,1565729583.444722,0.091586
AN,1565729583.349839,1565729583.460036,0.110196
AN,1565729583.349819,1565729583.470283,0.120463
AN,1565729583.343649,1565729583.479587,0.135937
AN,1565729583.439835,1565729583.550836,0.111000
AN,1565729583.443132,1565729583.566312,0.123179
AN,1565729583.433645,1565729583.576813,0.143166
AN,1565729583.439815,1565729583.587529,0.147713
AN,1565729583.558975,1565729583.658463,0.099487
AN,1565729583.555678,1565729583.673781,0.118102
AN,1565729583.549488,1565729583.683834,0.134345
AN,1565729583.555658,1565729583.692264,0.136606
AN,1565729583.653849,1565729583.762403,0.108553
AN,1565729583.650553,1565729583.777093,0.126539
AN,1565729583.644363,1565729583.785888,0.141525
AN,1565729583.650532,1565729583.794112,0.143579
AN,1565729583.755129,1565729583.869855,0.114725
AN,1565729583.751812,1565729583.886086,0.134273
AN,1565729583.751832,1565729583.896281,0.144448
AN,1565729583.745642,1565729583.906863,0.161220
AN,1565729583.929733,1565729583.977653,0.047918
AN,1565729583.926436,1565729583.993434,0.066996
AN,1565729583.926416,1565729584.004462,0.078044
AN,1565729583.920247,1565729584.014532,0.094285
AN,1565729584.021361,1565729584.084056,0.062694
AN,1565729584.018064,1565729584.098742,0.080677
AN,1565729584.018044,1565729584.108291,0.090245
AN,1565729584.011874,1565729584.117561,0.105686
AN,1565729584.076481,1565729584.189166,0.112684
AN,1565729584.073184,1565729584.204342,0.131156
AN,1565729584.073164,1565729584.214586,0.141421
AN,1565729584.066995,1565729584.225059,0.158063
AN,1565729584.250379,1565729584.297430,0.047051
AN,1565729584.250359,1565729584.311884,0.061524
AN,1565729584.253675,1565729584.321508,0.067831
AN,1565729584.244189,1565729584.330615,0.086425
AN,1565729584.330322,1565729584.404688,0.074366
AN,1565729584.327025,1565729584.420561,0.093535
AN,1565729584.320835,1565729584.429206,0.108369
AN,1565729584.327005,1565729584.438663,0.111657
AN,1565729584.456390,1565729584.510348,0.053957
AN,1565729584.453093,1565729584.524680,0.071586
AN,1565729584.453073,1565729584.534639,0.081565
AN,1565729584.446903,1565729584.544251,0.097347
AN,1565729584.539470,1565729584.615387,0.075916
AN,1565729584.536174,1565729584.630712,0.094537
AN,1565729584.536154,1565729584.639558,0.103403
AN,1565729584.529984,1565729584.648806,0.118822
AN,1565729584.628059,1565729584.722878,0.094817
AN,1565729584.624763,1565729584.738984,0.114221
AN,1565729584.618573,1565729584.749176,0.130602
AN,1565729584.624743,1565729584.759299,0.134556
AN,1565729584.755888,1565729584.829375,0.073486
AN,1565729584.752591,1565729584.844170,0.091577
AN,1565729584.746401,1565729584.853408,0.107005
AN,1565729584.752571,1565729584.861668,0.109096
AN,1565729584.890653,1565729584.938215,0.047560
AN,1565729584.887356,1565729584.953636,0.066278
AN,1565729584.887336,1565729584.964553,0.077216
AN,1565729584.881166,1565729584.974562,0.093395
AN,1565729584.991621,1565729585.044553,0.052931
AN,1565729584.994918,1565729585.059285,0.064366
AN,1565729584.985431,1565729585.068881,0.083448
AN,1565729584.991601,1565729585.077911,0.086309
AN,1565729585.100839,1565729585.150892,0.050052
AN,1565729585.097542,1565729585.166444,0.068900
AN,1565729585.097522,1565729585.175884,0.078360
AN,1565729585.091352,1565729585.185436,0.094082
AN,1565729585.129048,1565729585.256868,0.127818
AN,1565729585.125751,1565729585.271701,0.145948
AN,1565729585.125731,1565729585.282077,0.156344
AN,1565729585.119562,1565729585.290915,0.171353
AN,1565729585.311039,1565729585.363443,0.052403
AN,1565729585.307742,1565729585.378361,0.070617
AN,1565729585.307722,1565729585.387719,0.079996
AN,1565729585.301552,1565729585.397017,0.095464
AN,1565729585.403840,1565729585.470076,0.066235
AN,1565729585.400543,1565729585.485739,0.085195
AN,1565729585.394353,1565729585.495810,0.101456
AN,1565729585.400523,1565729585.505864,0.105341
AN,1565729585.434743,1565729585.579308,0.144564
AN,1565729585.431446,1565729585.594466,0.163019
AN,1565729585.431426,1565729585.602909,0.171482
AN,1565729585.425256,1565729585.611824,0.186567
AN,1565729585.602752,1565729585.683083,0.080329
AN,1565729585.599456,1565729585.697793,0.098336
AN,1565729585.593266,1565729585.707956,0.114689
AN,1565729585.599436,1565729585.717692,0.118256
AN,1565729585.682722,1565729585.790868,0.108145
AN,1565729585.679425,1565729585.806901,0.127474
AN,1565729585.673235,1565729585.818370,0.145133
AN,1565729585.679405,1565729585.827946,0.148539
AN,1565729585.782941,1565729585.896913,0.113971
