sink_id,timestamp,cur_time,throughput
AN,1565729581.605362,1565729581.737132,369.148141
AN,1565729582.191553,1565729582.268970,9401.360117
AN,1565729582.695853,1565729582.801715,9385.363653
AN,1565729583.196619,1565729583.335743,9362.795652
AN,1565729583.755129,1565729583.869854,9361.357937
AN,1565729584.330322,1565729584.404688,9348.696716
AN,1565729584.890653,1565729584.938214,9371.615492
AN,1565729585.403840,1565729585.470075,9400.947109
AN,1565729585.925565,1565729586.003426,9374.682057
AN,1565729586.403468,1565729586.536989,9370.966409
AN,1565729586.959157,1565729587.070704,9368.291458
AN,1565729587.484243,1565729587.603485,9384.725263
AN,1565729587.993916,1565729588.137268,9367.103082
AN,1565729588.565792,1565729588.669109,9401.305328
AN,1565729589.094930,1565729589.203610,9354.518123
AN,1565729589.637953,1565729589.736312,9386.107151
AN,1565729590.181372,1565729590.271202,9347.725797
AN,1565729590.660409,1565729590.803427,9394.516455
AN,1565729591.235618,1565729591.336549,9378.715214
AN,1565729591.775149,1565729591.871675,9343.590191
AN,1565729592.353480,1565729592.405861,9360.045989
AN,1565729592.808137,1565729592.937617,9402.814363
AN,1565729593.343956,1565729593.471256,9369.618277
AN,1565729593.891775,1565729594.002892,9404.931199
AN,1565729594.498871,1565729594.538097,9342.216631
AN,1565729594.974909,1565729595.070010,9400.032721
AN,1565729595.498012,1565729595.604495,9354.806046
AN,1565729596.059162,1565729596.136362,9400.845970
AN,1565729596.524853,1565729596.671035,9351.514773
AN,1565729597.071855,1565729597.203876,9383.650275
AN,1565729597.672691,1565729597.736211,9392.580981
AN,1565729598.175170,1565729598.269456,9376.555660
AN,1565729598.729882,1565729598.803731,9358.483830
AN,1565729599.241938,1565729599.336388,9386.905388
AN,1565729599.734822,1565729599.871064,9351.456394
AN,1565729600.345243,1565729600.405771,9350.901826
AN,1565729600.877784,1565729600.936602,9419.196161
AN,1565729601.328137,1565729601.470057,9372.863660
AN,1565729601.935028,1565729602.004173,9361.261826
AN,1565729602.448573,1565729602.536089,9399.977947
AN,1565729602.964773,1565729603.072028,9329.432783
AN,1565729603.540226,1565729603.603886,9401.006108
AN,1565729604.038850,1565729604.137171,9375.843016
AN,1565729604.591601,1565729604.671613,9355.544710
AN,1565729605.081455,1565729605.205762,9360.693561
AN,1565729605.635954,1565729605.737991,9394.457537
AN,1565729606.146434,1565729606.271464,9372.545304
AN,1565729606.728674,1565729606.805223,9367.508937
AN,1565729607.216796,1565729607.338374,9378.207734
AN,1565729607.751208,1565729607.872602,9359.314967
AN,1565729608.264784,1565729608.406933,9357.494176
AN,1565729608.864433,1565729608.938232,9410.881996
AN,1565729609.388784,1565729609.471853,9369.961553
AN,1565729609.885103,1565729610.007003,9343.165593
AN,1565729610.459678,1565729610.537686,9421.815605
AN,1565729610.947850,1565729611.073126,9338.119162
AN,1565729611.535633,1565729611.612128,9276.400328
AN,1565729612.055515,1565729612.138661,9496.087280
AN,1565729612.628552,1565729612.673199,9353.863062
