sink_id,timestamp,cur_time,latency
AP,1565729437.207724,1565729437.313377,0.105652
AP,1565729437.204971,1565729437.327305,0.122332
AP,1565729437.204651,1565729437.334336,0.129684
AP,1565729437.198409,1565729437.340814,0.142405
AP,1565729437.282568,1565729437.393303,0.110734
AP,1565729437.279815,1565729437.406993,0.127177
AP,1565729437.279495,1565729437.414213,0.134718
AP,1565729437.273252,1565729437.421135,0.147882
AP,1565729437.397970,1565729437.474094,0.076124
AP,1565729437.395217,1565729437.489262,0.094043
AP,1565729437.388654,1565729437.497323,0.108668
AP,1565729437.394897,1565729437.505356,0.110458
AP,1565729437.471377,1565729437.555517,0.084139
AP,1565729437.468624,1565729437.569979,0.101354
AP,1565729437.468304,1565729437.578496,0.110191
AP,1565729437.462062,1565729437.586856,0.124794
AP,1565729437.528389,1565729437.634351,0.105962
AP,1565729437.525636,1565729437.650066,0.124429
AP,1565729437.519073,1565729437.659210,0.140135
AP,1565729437.525316,1565729437.667079,0.141762
AP,1565729437.647367,1565729437.715093,0.067725
AP,1565729437.644614,1565729437.730093,0.085478
AP,1565729437.638052,1565729437.738164,0.100112
AP,1565729437.644294,1565729437.746223,0.101928
AP,1565729437.682392,1565729437.797810,0.115417
AP,1565729437.679640,1565729437.811843,0.132202
AP,1565729437.679319,1565729437.819750,0.140430
AP,1565729437.673077,1565729437.827125,0.154047
AP,1565729437.809960,1565729437.874369,0.064407
AP,1565729437.800645,1565729437.889406,0.088760
AP,1565729437.807208,1565729437.898092,0.090883
AP,1565729437.806887,1565729437.906222,0.099334
AP,1565729437.903678,1565729437.957064,0.053385
AP,1565729437.900925,1565729437.972051,0.071124
AP,1565729437.900605,1565729437.980785,0.080179
AP,1565729437.894363,1565729437.988844,0.094480
AP,1565729437.969757,1565729438.034680,0.064922
AP,1565729437.967004,1565729438.050607,0.083601
AP,1565729437.966684,1565729438.059299,0.092614
AP,1565729437.960442,1565729438.067302,0.106859
AP,1565729438.025592,1565729438.114928,0.089335
AP,1565729438.022840,1565729438.129908,0.107067
AP,1565729438.022519,1565729438.137919,0.115398
AP,1565729438.016277,1565729438.145767,0.129490
AP,1565729438.119984,1565729438.199004,0.079020
AP,1565729438.117231,1565729438.215013,0.097780
AP,1565729438.110668,1565729438.224652,0.113982
AP,1565729438.116911,1565729438.233617,0.116706
