sink_id,timestamp,cur_time,throughput
AP,1565729437.207724,1565729437.313376,407.963842
AP,1565729437.679319,1565729437.819749,12836.383172
AP,1565729438.244514,1565729438.356173,12117.271360
AP,1565729438.734774,1565729438.863599,12809.767062
AP,1565729439.345994,1565729439.396245,12203.222803
AP,1565729439.820016,1565729439.900712,12884.886157
AP,1565729440.340908,1565729440.437248,12114.756794
AP,1565729440.803550,1565729440.943077,12850.190022
AP,1565729441.435932,1565729441.476775,12179.159739
AP,1565729441.876719,1565729441.980733,12897.894457
AP,1565729442.428046,1565729442.515311,12159.127136
AP,1565729442.938007,1565729443.019180,12900.176968
AP,1565729443.502158,1565729443.556083,12106.466661
AP,1565729443.967568,1565729444.062124,12844.807749
AP,1565729444.519171,1565729444.595881,12177.848651
AP,1565729444.970743,1565729445.103011,12817.210610
AP,1565729445.580572,1565729445.634550,12228.653551
AP,1565729446.011069,1565729446.141162,12830.324074
AP,1565729446.602061,1565729446.676496,12141.960815
AP,1565729447.081922,1565729447.179382,12925.393160
AP,1565729447.629683,1565729447.715377,12126.978648
AP,1565729448.111459,1565729448.222246,12823.806213
AP,1565729448.638772,1565729448.756084,12175.977712
AP,1565729449.179676,1565729449.259286,12917.284861
AP,1565729449.711035,1565729449.795865,12113.777095
AP,1565729450.155342,1565729450.300337,12884.776545
AP,1565729450.771971,1565729450.836403,12125.355193
AP,1565729451.259882,1565729451.339965,12908.043778
AP,1565729451.764696,1565729451.876450,12115.903565
AP,1565729452.248775,1565729452.382153,12853.413067
AP,1565729452.840132,1565729452.916600,12162.088760
AP,1565729453.345441,1565729453.420955,12887.742807
AP,1565729453.878376,1565729453.956181,12144.416361
AP,1565729454.385800,1565729454.464494,12787.398236
AP,1565729454.896371,1565729454.996732,12212.565026
AP,1565729455.375140,1565729455.503059,12837.567871
AP,1565729455.935000,1565729456.039302,12121.360432
AP,1565729456.413547,1565729456.543525,12891.118818
AP,1565729456.976510,1565729457.079240,12133.331019
AP,1565729457.496903,1565729457.589502,12738.553608
AP,1565729458.045290,1565729458.118101,12296.655323
AP,1565729458.545497,1565729458.627911,12749.836786
AP,1565729459.059767,1565729459.161679,12177.592995
AP,1565729459.525703,1565729459.665466,12902.277103
AP,1565729460.140296,1565729460.198572,12192.695110
AP,1565729460.554332,1565729460.704993,12835.150349
AP,1565729461.153455,1565729461.237962,12195.853147
AP,1565729461.653318,1565729461.748413,12733.835376
AP,1565729462.173065,1565729462.278004,12273.609488
AP,1565729462.702746,1565729462.790411,12685.244846
AP,1565729463.206099,1565729463.317639,12328.629279
AP,1565729463.696606,1565729463.828707,12718.455515
AP,1565729464.316005,1565729464.357130,12300.760931
AP,1565729464.748078,1565729464.867512,12735.554478
AP,1565729465.283093,1565729465.400068,12205.282439
AP,1565729465.815842,1565729465.908521,12783.884498
AP,1565729466.356400,1565729466.436883,12302.154131
AP,1565729466.810954,1565729466.948479,12705.344610
AP,1565729467.320949,1565729467.450734,11946.118196
AP,1565729467.859231,1565729467.957417,12828.543075
AP,1565729468.338123,1565729468.468598,12715.643758
AP,1565729468.883844,1565729468.998181,12273.808409
AP,1565729469.369375,1565729469.507027,12774.013203
AP,1565729469.960925,1565729470.039566,12205.686799
AP,1565729470.438655,1565729470.548100,12781.834710
AP,1565729471.003083,1565729471.077338,12281.809274
AP,1565729471.432591,1565729471.586532,12765.268774
AP,1565729472.008871,1565729472.118561,12217.375639
AP,1565729472.513549,1565729472.618821,12493.512423
AP,1565729473.014457,1565729473.122639,12901.471156
AP,1565729473.520257,1565729473.638133,12124.301097
AP,1565729473.993729,1565729474.150590,12683.987771
AP,1565729474.586011,1565729474.679556,12288.131078
AP,1565729475.065211,1565729475.184994,12860.118785
AP,1565729475.652404,1565729475.718786,12177.043642
AP,1565729476.103881,1565729476.227230,12784.100303
AP,1565729476.709672,1565729476.758044,12245.323502
AP,1565729477.174287,1565729477.258125,12497.979729
AP,1565729477.757444,1565729477.798053,12501.673348
AP,1565729478.180485,1565729478.306815,12776.108380
AP,1565729478.776215,1565729478.838218,12231.764390
AP,1565729479.205129,1565729479.348475,12738.678602
AP,1565729479.787532,1565729479.879027,12251.409590
AP,1565729480.285130,1565729480.383637,12881.233440
AP,1565729480.870963,1565729480.919985,12118.989620
AP,1565729481.344361,1565729481.425926,12847.349993
